OriginalValue,Country,Number,SourceColumn,RowIndex,Type,Name,Legal
425-882-8080,Georgia,425 882 8080,phone_number,0,Phone,,
+1-408-996-1010,Curacao,408 996 1010,phone_number,1,Phone,,
650-253-0000,Georgia,650 253 0000,phone_number,2,Phone,,
206-266-1000,Bahrain,206 266 1000,phone_number,3,Phone,,
650-543-4800,Georgia,650 543 4800,phone_number,4,Phone,,
512-516-8177,Benin,512 516 8177,phone_number,5,Phone,,
408-540-3700,Cote D'Ivoire,408 540 3700,phone_number,6,Phone,,
Microsoft Corporation,,,company_name,0,Company,Microsoft,CORPORATION
Apple Inc.,,,company_name,1,Company,Apple,INC
Google LLC,,,company_name,2,Company,Google,LLC
Amazon.com Inc.,,,company_name,3,Company,Amazon Com,INC
Meta Platforms Inc.,,,company_name,4,Company,Meta Platforms,INC
Tesla Inc.,,,company_name,5,Company,Tesla,INC
Netflix Inc.,,,company_name,6,Company,Netflix,INC
